alpha,nu,phi_k,muxi,sigmaxi,a,wss,els
0.25,0.6,2.4,0.065,0.31898602372726825,0.001,1.5216625180517938,7.3563093360751814
0.25,0.6,2.4,0.065,0.3283679656015997,0.001,1.521671799897912,7.341175874571618
0.25,0.6,2.4,0.065,0.3377499074759311,0.001,1.5216797111831448,7.326924813084201
0.25,0.6,2.4,0.065,0.34713184935026253,0.001,1.5216864224243718,7.313292255125364
0.25,0.6,2.4,0.065,0.3565137912245939,0.001,1.521692042265405,7.300253724529881
0.25,0.6,2.4,0.065,0.36589573309892537,0.001,1.5216967108967707,7.287866422191973
0.25,0.6,2.4,0.065,0.37527767497325676,0.001,1.5217005375156243,7.276036828398065
0.25,0.6,2.4,0.08125,0.00938194187433142,0.001,1.4779652021028482,52.15106122328908
0.25,0.6,2.4,0.08125,0.01876388374866284,0.001,1.492368030291117,26.14810873950849
0.25,0.6,2.4,0.08125,0.02814582562299426,0.001,1.4952734325201686,19.31259986226352
0.25,0.6,2.4,0.08125,0.03752776749732568,0.001,1.498180928424899,14.665724348759323
0.25,0.6,2.4,0.08125,0.046909709371657095,0.001,1.502260509543557,12.159833943597341
0.25,0.6,2.4,0.08125,0.05629165124598852,0.001,1.5057844404658813,10.663739978261919
0.25,0.6,2.4,0.08125,0.06567359312031994,0.001,1.508433982805922,9.790297543895027
0.25,0.6,2.4,0.08125,0.07505553499465135,0.001,1.510453114728895,9.167259863498401
0.25,0.6,2.4,0.08125,0.08443747686898277,0.001,1.5120257379143696,8.801558081952127
0.25,0.6,2.4,0.08125,0.09381941874331419,0.001,1.513291855107695,8.50797862001992
0.25,0.6,2.4,0.08125,0.10320136061764561,0.001,1.5143071201636302,8.321361924843012
0.25,0.6,2.4,0.08125,0.11258330249197704,0.001,1.5151461479495887,8.04942555109127
0.25,0.6,2.4,0.08125,0.12196524436630846,0.001,1.5158281035730359,7.904100522023303
0.25,0.6,2.4,0.08125,0.13134718624063987,0.001,1.51638919616706,7.786638933359274
0.25,0.6,2.4,0.08125,0.1407291281149713,0.001,1.5168717795406017,7.678066703877956
0.25,0.6,2.4,0.08125,0.1501110699893027,0.001,1.5172825934089733,7.6148901307668355
0.25,0.6,2.4,0.08125,0.15949301186363413,0.001,1.5176394228560361,7.557342964076579
0.25,0.6,2.4,0.08125,0.16887495373796554,0.001,1.517941736964578,7.508219524847842
0.25,0.6,2.4,0.08125,0.17825689561229696,0.001,1.5181997048339746,7.469927879505953
0.25,0.6,2.4,0.08125,0.18763883748662838,0.001,1.518424151499786,7.4334494313620265
